Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
21,6,4/7/2017 10:20,3,2,0,14,0,14,0,7,9.899494937,0,0,0,0,4666666.667,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,FTP-Patator
139,6,28/2/2018 10:52,433,3,2,168,5,168,0,56,96.99484522,5,0,2.5,3.535533906,399538.1062,11547.34411,108.25,111.1076805,255,13,420,210,108.8944443,287,133,401,401,0,401,401,0,0,0,0,72,52,6928.406467,4618.937644,0,168,28.83333333,68.20679341,4652.166667,0,0,1,1,0,0,0,1,0,34.6,56,2.5,0,0,0,0,0,0,3,168,2,5,8192,280,1,20,0,0,0,0,0,0,0,0,Infilteration
30536,6,28/2/2018 10:52,218486,2,0,0,0,0,0,0,0,0,0,0,0,0,9.153904598,218486,0,218486,218486,218486,218486,0,218486,218486,0,0,0,0,0,1,0,1,0,80,0,9.153904598,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,65535,-1,0,40,0,0,0,0,0,0,0,0,Infilteration
80,6,5/7/2017 11:10,9586801,8,6,369,11632,369,0,46.125,130.4612011,4392,0,1938.666667,2190.718847,1251.825296,1.46034115,737446.2308,1801304.684,5000884,15,4585917,655131,1732048.617,4583048,221,9586749,1917349.8,2628848.558,5002723,15,0,0,0,0,264,200,0.834480657,0.625860493,0,4392,800.0666667,1627.473435,2648669.781,0,0,0,1,0,0,0,0,0,857.2142857,46.125,1938.666667,0,0,0,0,0,0,8,369,6,11632,29200,235,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,15/2/2018 9:27,5976962,4,4,270,662,270,0,67.5,135,662,0,165.5,331,155.9320605,1.338472622,853851.7143,1865132.191,5003064,5,973898,324632.6667,561065.3775,972495,307,5976957,1992319,2652455.042,5003393,1403,0,0,0,0,136,136,0.669236311,0.669236311,0,662,103.5555556,227.6593459,51828.77778,0,0,0,1,0,0,0,0,1,116.5,67.5,165.5,0,0,0,0,0,0,4,270,4,662,26883,219,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
80,6,15/2/2018 9:27,6005855,4,4,312,972,312,0,78,156,972,0,243,486,213.7913752,1.332033491,857979.2857,1865289.338,5002448,4,1003407,334469,578491.1312,1002453,333,6005851,2001950.333,2646565.86,5002779,955,0,0,0,0,136,136,0.666016745,0.666016745,0,972,142.6666667,327.6705663,107368,0,0,0,1,0,0,0,0,1,160.5,78,243,0,0,0,0,0,0,4,312,4,972,26883,219,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
21,6,14/2/2018 10:33,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,FTP-Patator
80,6,5/7/2017 9:48,540675,4,2,231,0,231,0,57.75,115.5,0,0,0,0,427.2437231,11.09723956,108135,241282.5337,539754,18,540675,180225,311443.7703,539849,18,848,848,0,848,848,0,0,0,0,136,72,7.398159708,3.699079854,0,231,33,87.30979327,7623,0,0,0,1,0,0,0,0,0,38.5,57.75,0,0,0,0,0,0,0,4,231,2,0,29200,235,1,32,0,0,0,0,0,0,0,0,DoS slowloris
80,17,21/2/2018 10:08,119893441,309629,0,9908128,0,32,32,32,0,0,0,0,0,82641.11796,2582.534936,387.2176967,11125.35538,591274,0,120000000,387.2176967,11125.35538,591274,0,0,0,0,0,0,0,0,0,0,2477032,0,2582.534936,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.00010335,32,0,0,0,0,0,0,0,309629,9908128,0,0,-1,-1,309628,8,0,0,0,0,0,0,0,0,DDoS
80,6,5/7/2017 9:48,17069963,4,3,239,0,231,0,59.75,114.2289368,0,0,0,0,14.00120199,0.410077046,2844993.833,6968335.447,1.71E+07,58,1.71E+07,5689968.333,9854631.819,1.71E+07,343,1.71E+07,8534923.5,1.21E+07,1.71E+07,740,0,0,0,0,136,104,0.23432974,0.175747305,0,231,29.875,81.31497402,6612.125,0,0,0,1,0,0,0,0,0,34.14285714,59.75,0,0,0,0,0,0,0,4,239,3,0,29200,235,2,32,856,0,856,856,1.71E+07,0,1.71E+07,1.71E+07,DoS slowloris
